tactic_labels,technique_labels,sub_technology_labels,text
['TA0006'],['T1528'],['T1528'],"""enterprise application -> user setting -> enterprise applications: user consent apps accessing company data behalf"" set ""no"" prevent user consenting allow third-party multi-tenant application"
['TA0006'],['T1528'],['T1528'],"""users -> user setting -> app registrations: user register applications"" set ""no"" prevent user registering new applications."
['TA0005'],['T1070'],['T1070.006'],"$fn timestomping, however, typically requires interacting system kernel moving renaming file."
['TA0005'],['T1070'],['T1070.006'],"$si (dates/time stamps) displayed end user, including file system view, $fn dealt kernel."
"['TA0005', 'TA0003', 'TA0004']",['T1574'],['T1574.009'],"(stored window registry keys) adversary place executable higher level directory path, window resolve executable instead intended executable."
['TA0005'],['T1218'],['T1218.002'],* cpl format registered control panel item stored system32 directory automatically shown control panel.
['TA0005'],['T1218'],['T1218.002'],* control panel item extensible via shell extension registered hkey_local_machine\software\microsoft\windows\currentversion\controls folder{name}\shellex\propertysheethandlers {name} predefined name system item.
"['TA0005', 'TA0004']",['T1548'],['T1548.002'],* sdclt.exe bypass us [hkey_current_user]\software\microsoft\windows\currentversion\app paths\control.exe [hkey_current_user]\software\classes\exefile\shell\runas\command\isolatedcommand registry keys.analysts monitor registry setting unauthorized changes.
['TA0005'],['T1218'],['T1218.010'],"- analytic 1 generic analytic look suspicious usage regsvr32.exe, specifically case regsvr32.exe creates child process aren??t itself."
['TA0007'],['T1087'],['T1087.001'],"- linux, auditing framework linux auditing system (auditd) used alert enumeration/reading file store local users, including /etc/passwd."
['TA0007'],['T1087'],['T1087.001'],"- macos, utility work concert apple??s endpoint security framework process monitor used track usage command id groups."
['TA0005'],['T1564'],['T1564.006'],"-silent, -ignore-reboot), well associated running headless (in background ui) virtual instance (ex."
"['TA0002', 'TA0003', 'TA0004']",['T1053'],['T1053.006'],.service file systemd service unit file managed systemd system service manager.
['TA0005'],['T1222'],['T1222.001'],wannacry us attrib +h icacls . /grant everyone:f /t /c /q make file hidden grant user full access controls.
"['TA0005', 'TA0003', 'TA0006']",['T1556'],['T1556.005'],16 byte randomly-generated value (g$radiuschapkey) also userparameters
['TA0011'],['T1573'],['T1573.001'],3para rat command control command encrypted within http c2 channel using de algorithm cbc mode key derived md5 hash string hyf54&%9&jkmcxuis.
['TA0007'],['T1083'],['T1083'],3para rat command retrieve metadata file disk well command list current working directory.
['TA0005'],['T1070'],['T1070.006'],3para rat command set certain attribute creation/modification timestamps files.
['TA0011'],['T1071'],['T1071.001'],3para rat us http command control.
['TA0011'],['T1573'],['T1573.001'],3para rat use 8-byte xor key derived string hyf54&%9&jkmcxuis de decoding fails
['TA0002'],['T1059'],['T1059.003'],4h rat capability create remote shell.
['TA0007'],['T1057'],['T1057'],4h rat capability obtain listing running process (including loaded modules).
['TA0007'],['T1083'],['T1083'],4h rat capability obtain file directory listings.
['TA0011'],['T1573'],['T1573.001'],4h rat obfuscates c2 communication using 1-byte xor key 0xbe.
['TA0007'],['T1082'],['T1082'],4h rat sends o version identifier beacons.
['TA0011'],['T1071'],['T1071.001'],4h rat us http command control.
['TA0002'],['T1047'],['T1047'],blackenergy 2 plug-in us wmi gather victim host details.
['TA0006'],['T1528'],['T1528'],cloud access security broker (casb) used set usage policy manage user permission cloud application prevent access application access tokens.
['TA0006'],['T1528'],['T1528'],cloud access security broker also used ban applications.
