sample_id,source_index,split,label,text_sha256
fgat-000001,0,train,T1528,9cf9b1d3c8d01ebada46da4bc2834fb473c9e7a5942c35729a966a1471e1807e
fgat-000002,1,train,T1528,e4c12169fe8bd685499416f18ebc455da7af689f4934023844fb88eee4a31622
fgat-000003,2,train,T1070.006,59095b2c9892e2e5a1db25960c044bcefd15d9fd172e38b72c8ef44de111207c
fgat-000004,3,train,T1070.006,746625721dbcd2e28519a4667fa8f447afad5c3e3fffcea7370a34e276352ead
fgat-000005,4,train,T1574.009,00a1e53e63cb0fdcec29e38a8288d33dc015c88655f78cc333218d885c08cf43
fgat-000006,5,train,T1218.002,93faa038951788837e135b849483c99c61f25d4503e4ea4563c861a40cb64b55
fgat-000007,6,train,T1218.002,ea20f06dae1d67098f1fa670840a249671e8a9f805c504d7daa0fe367575a2a0
fgat-000008,7,train,T1548.002,323aea2ba2cef7d337007bc44d18810f5c6e602bbe5e174714c3eb931e7f9f1c
fgat-000009,8,train,T1218.010,1ff9585344910f1e4e50fc091655688d07146f05e2929c37b4c2b9961be6c326
fgat-000010,9,train,T1087.001,11806472337712b80961996cabb9ff836a3fddf53c25f6e338463f02fe5f30e2
fgat-000011,10,train,T1087.001,c54aa28618f3c4425f72fee1bd49d135b50d158b8bcb38ed5cfd467b5609cd7b
fgat-000012,11,train,T1564.006,7f1fefe449a7dcdeb417086749b042bea2e6e944cc8c6dfb80f58fa67d5eb61c
fgat-000013,12,train,T1053.006,eb61948cbed42a426a9e77ebfafb7a4657a746c07d749e138067a8761d79e0ee
fgat-000014,13,train,T1222.001,5e54bcbb57831ae37a971118912fe4f117e843181a1bbdd5c2346152c65c16b4
fgat-000015,14,train,T1556.005,b2a08bf70dda7f771965ed26cc0d3a1ef86d76598d05188d0a20b3adb4675db5
fgat-000016,15,train,T1573.001,3c796a73703e98ded3f481239b55c5cc1906317f1cd2fe37e5da3d2439df313e
fgat-000017,16,train,T1083,b5f36816476c8a221d35f5651cb30cb7184a5c449b17cae188eb698d4ca125d7
fgat-000018,17,validation,T1070.006,a3a2c0451c1e0b14bbc520b847a84bb2839c16e10903f040a5c70765c151c07c
fgat-000019,18,train,T1071.001,78f884972f40f61ca9eadee071d8b469ceaae2f1cfc2ddbfd8e6cd4e19dc11b2
fgat-000020,19,train,T1573.001,6711f8f30a3bc58a31c8d086aa3f355a731ee44ad2ca2c4812fa368354f1b568
fgat-000021,20,train,T1059.003,61033b3afe95ae09a8e9a71f81931a35cc1a1bcb18dc1fec5267f415f31e749d
fgat-000022,21,train,T1057,09367667f6060146c1cb7b0205daaa6a69f85148f227da5f1aff9f63b174227c
fgat-000023,22,train,T1083,4a95f96ca9c6d276e2d25c33d98a78ca38cda47a8a11d1f736bf0cf5ffa2cc36
fgat-000024,23,train,T1573.001,8eea7a6880c702df337bdc1a534bc48b533a85878f9b49be6b0de7acb6030f45
fgat-000025,24,train,T1082,14c731642d97a6a6bdc1330afc0812e9b2b7fe69e920abaf2a97eb34e26e96d1
fgat-000026,25,train,T1071.001,12935bcb5913b431b5eac78504948e038e212c2881dd79fc5aa792e149368466
fgat-000027,26,train,T1047,32e051cc1559a56640cd5947ac317e1bac06fea9b68ec05abe9f46feb830392d
fgat-000028,27,train,T1528,8e3f032d15ea5aacc33819ba071c6f35ca1afd3a387fd099719755ef8274423b
fgat-000029,28,train,T1528,c70e33ffd6fc647198273c70abe19d0a58afe8c1315b68ad52e7738f5697a61b
fgat-000030,29,validation,T1124,617451f63211a0a28541df8f693c0c645ea20195cf0acfdc37614a22da936aba
fgat-000031,30,test,T1082,60fb3e85970cd86a9ff0672e231a7eda58b5f8397e7b084dd439b3c604526496
fgat-000032,31,validation,T1057,505a629b065c378b98362445e0069a3fd5844829b02778a4d85cd6224e2b5e45
fgat-000033,32,train,T1059.003,da1278d3ede07c1949f7e07ccdb8fbd26ccfbac2e24604a8cd1b366d27214163
fgat-000034,33,train,T1547.004,c1b5ec873c725551c03f06b5ff4b69d385bf7fdfc816b6f94abb42a3866cf98f
fgat-000035,34,test,T1499,cfe6c6bcd598d11f7e375ecd7ad833370a8635483dcdd3880178c0ad7badca45
fgat-000036,35,test,T1574.001,1eeb305fd4c4c48461630714c44b8e81c897c23f6dc03462b84855eef994601f
fgat-000037,36,train,T1027.002,a8d0c37cdf9f6b17181af7d47a1a64a0eb1d48cef9ff96eb6689e500e505bca8
fgat-000038,37,train,T1082,0e7a6471391b690ec26bfccc536ad4a24d4c7d759c77e1f57584516d8d097168
fgat-000039,38,train,T1033,3421be87ab52ed84dff09fb70729f80851868e68794684b8fc13a7c74288438d
fgat-000040,39,train,T1041,e38744ec843b3c72c5f45bbf2fb71542d16b475748563a16bc29ecf4f3b07fb8
fgat-000041,40,train,T1025,c9f50d618f0a40e154bae6435ced0c4273fe04eb63d77fe648e353afb77ed339
fgat-000042,41,train,T1550.003,9c0935280eb84fb449908ffe316e486bbb0229c31cf627e0f0934ae542f5a1b5
fgat-000043,42,train,T1119,079e828fdf598c02a2bd6bb9fe3e3ea4637d7b5ebc2b6bf14e837f1f7c700a5f
fgat-000044,43,train,T1568.003,b9250088250eb103b9725903120814c954712254df763e40aac5893859e1cc78
fgat-000045,44,validation,T1115,20cca016e74c8de0dbee199dbb02c1c0ef73e691532c2be9b6bf086ed699d0dc
fgat-000046,45,train,T1132.001,1384de3376ea98f710eac44555c361d8879997dbb01e9c8f9f108cbc4a75d372
fgat-000047,46,test,T1016,dba4083feaf92356f3581f02889b24a7dd9a70c63150d3539e5ce2804937549e
fgat-000048,47,train,T1113,2caa5eef53e0b48908f7925edfe3e6c417a147fccaab09d92a3a2c0d0190d9d6
fgat-000049,48,train,T1027,c275fea7c2b7fd820b6ef04e6bff78d76bb8b827abc8da96b8307b9a1ec026a9
fgat-000050,49,train,T1197,25c4c1e37464950519c9485626fff666e25761173e99c8879004c9f9e2c7295c
fgat-000051,50,train,T1036.002,2fd14f55b5af73a7f725f04b16049a0452f1c4f45c3014fcf889eeed0a0e009d
fgat-000052,51,train,T1132.001,8324c447cbac750662cfc608b390009e8fa92cab3cc83f2004b13720e26e0208
fgat-000053,52,test,T1560.003,777fa251de6e070d74109b297b85122f3bddcf912820f044c802bbb1cde3ec4a
fgat-000054,53,train,T1055.001,045c598146b9a0dab581af6b9d2ba9d76fce64a0637a7ee78f7690bfed2ab543
fgat-000055,54,test,T1033,04d909f0e2a0c3264cf61168725345d3db9e268b7690346ad1c42c4f1b4da22c
fgat-000056,55,train,T1498,50792d9062ecac528d20daea04bd61ca0a22a5a1a15b81a293ceb5703bbc3d6f
fgat-000057,56,train,T1140,3557680d2fac1630cf49c8cb27e78395f4fcc6ed9ae862efccac981c501a7b42
fgat-000058,57,validation,T1574.002,10f5c7c7ce4a40431778593ece93da5728c07579847b39891c4adcd660da42dc
