sample_id,source_index,split,label,text_sha256
tram-000001,0,validation,T1095,13267b28e8267fcf359f34ba06cd1246fb6eaf343b66eb59a6976a4737991e49
tram-000002,1,train,T1564.001,c85f5d169a25baf39f331e4cc27628013ac9b43e0637d8ac1cd74419f19c7fba
tram-000003,2,train,T1083,934e97f047057b23a8d821b760faadeca25f1c66c3e089091224475f26f8275d
tram-000004,3,test,T1090,59038e1a17a8eb886a84050f0d45a46126440a2706e5d92c0a52551035d2ebce
tram-000005,4,train,T1112,4c60d2314edef2af8bcf7769540caa1706db56d18345cbafe546b80cb7ca591c
tram-000006,5,train,T1566.001,802f04e9b6f7a7f0846c569acd21361dfa7584f5c132e6361f70c21fe4b11d64
tram-000007,6,train,T1036.005,823052fed816b6355cd4c17e507d65a20824eafeb1918fd2b115f1298c56338d
tram-000008,7,train,T1047,19d69b9d9b12a6c82f5da2f3e81dc9f5d06766f7bf3172f0fd64cd676780563c
tram-000009,8,test,T1105,27f66c7de5963a30408f610f3303e41ebc74d2be345f6aa498ff58b732b67181
tram-000010,9,train,T1027,d296fadcfee44d92629db8096baea3bfb82de25022337abd36376afa48add11e
tram-000011,10,test,T1204.002,137ca0535e52384a023fab088f17460c136148347d5333f8f6c677f79f9747e2
tram-000012,11,train,T1564.001,81189d5fb59c062fad4031b01657b80e1055b3b0379654bf7a76a21626db776c
tram-000013,12,train,T1041,882a84294725b1ea7eb0ce9133ca0545dfa8a83be3511257880bec7adb627613
tram-000014,13,train,T1033,e3b89e9d33f88e523083d8b4436adcc3726c89e97fd3179a2e102d765d1b16ed
tram-000015,14,validation,T1057,b156c865003ace939d5818efb27f2ce65655479b2120c05b38f75b41a0766817
tram-000016,15,train,T1059.003,9cbc77880e7c2d3510d285cc6ce01ab30c932a5363801b8632b48ad9fedf3cea
tram-000017,16,train,T1110,4e9ed95a0b8108c85ad88a7fb9ac10a6003051b96549fc6eba8b712d71d02c46
tram-000018,17,train,T1082,10d5d1fc5804af7df86edbce4447a088883ab128651208aee544e2f93a22d926
tram-000019,18,train,T1033,791e757cb4e3f1bfa39de18d075e3691c860035bcbb136b6667c307d8379780b
tram-000020,19,validation,T1027,f096ecccf0971fe250009755bcd94c0656f895eca3cd3290512018cb1da382cf
tram-000021,20,train,T1562.001,0539421f6783a6e7d970b17cab0b20824c319139f0a627cfc995ec7a9c739a39
tram-000022,21,train,T1027,864dd6b04d6a945484bcd20ae69616574e9ba2f4f3d727db2c8eeb653892f21c
tram-000023,22,train,T1090,e4349abd3e7d5963f6211e831b3fa26ec6a8c060c5f7f41da6b7ebd94b703926
tram-000024,23,test,T1105,96f76ba9ffcf281cdca92a7a5c3cb48d0560381d275f4ef59c262ee4d50502f9
tram-000025,24,train,T1059.003,7fdfbba3a00c6489d72846952976f44d58e04fce344bbc491f35992f842098dc
tram-000026,25,train,T1071.001,0efba9ae9eada47207eb01f707269b9432acf17504d3e5eead7880288f4ad186
tram-000027,26,train,T1566.001,a6583ba7bd01a20ddd5f81f64ac7e78d56d0e4900f489fcb79cf2b0005ab12c3
tram-000028,27,train,T1005,e44d30b0b7749d185972b493a9efd6179a04f479c51e7d6e8b8f14450b4495f4
tram-000029,28,train,T1071.001,744f3b9fea50bad2382a5a1f0acfd041f4f4060f47a781652679e8a0beec8763
tram-000030,29,test,T1016,a6c56a5c780510c64a2b375092ad55946a06084821895d684c69955d725ab049
tram-000031,30,train,T1036.005,6ba3ef9c8980d824ae46c39dd9b48b585f45a7a7e9b7732bffcc3d90c7d96a69
tram-000032,31,validation,T1005,824dce74487cdd8c5f6052b2381f8390dcbf94a14756964601a9605d4c86408b
tram-000033,32,train,T1047,ade7a0439493037b59db33f3c4670335e7d9413e50bc7d998a0b0f3c0450c8b0
tram-000034,33,test,T1021.001,924cbb34cda6b01cb46c4510916c57c1974d72c806dd3a165be96838349ec756
tram-000035,34,train,T1055,c60ca9146f2791bef8f469343481a356ee710fd35396744ffe731407fe2dea9f
tram-000036,35,validation,T1036.005,530aa43a8cc93495892a9caa6831c44508e9099467d2dffde2f26f1ec42a24c2
tram-000037,36,validation,T1547.001,0429fe286f8352ceff09c80348484bee2f871500361545d99c62e36dac49b3e3
tram-000038,37,train,T1082,148082c8eab28f6196d0cbd564067263dcfbe6a0ece939a116f0abbe40d242f9
tram-000039,38,train,T1003.001,343547f1700764c37f5178b2d791111e9d7bc7ab44bb38ee6a1048a4a5e47868
tram-000040,39,test,T1027,3f469ea474e2592b89f2de94638843d9de46c51c6119e3e70d51cd25137f6d69
tram-000041,40,train,T1083,cf5232a591d2edc7579b6fe2ad50d179de8158d99086536a4601ebb911ab9d73
tram-000042,41,test,T1053.005,f2960f5fedc1339aa8550209515d6157e7edfe8bb3c50a60b657ee71c628f5e5
tram-000043,42,train,T1112,c55c5f588e9155e095c522115605ed5dd9b891204805e0f7981d12d30a09864d
tram-000044,43,train,T1059.003,e51d9a7cf168a715156a2f4515453afb9e09cfa22a4a30c4685400a2ffb89368
tram-000045,44,train,T1053.005,73d996009c1798b6567c0a3903a951dc6d8f739443aade1e19597330bc703563
tram-000046,45,train,T1110,d1eae2dc5d5181497478f4a2baf8c3beec9beab75d820ec9e90a6a629d5d4543
tram-000047,46,train,T1068,f086280851b0b0606bde5a9bedda0384fac82500806ee1371ff27cd306d3a515
tram-000048,47,test,T1140,23d02182bf8f7961c9fa2f684bfb16675f4d163e184cee813b2294623b7d380f
