label,total_count,train_count,validation_count,test_count
T1001,14,12,1,1
T1001.001,19,12,4,3
T1001.002,20,17,1,2
T1001.003,23,16,1,6
T1003,41,28,6,7
T1003.001,126,98,17,11
T1003.002,50,37,6,7
T1003.003,50,39,4,7
T1003.004,28,20,4,4
T1003.005,22,19,1,2
T1003.006,14,12,1,1
T1003.007,25,12,7,6
T1003.008,13,12,0,1
T1005,217,177,19,21
T1006,16,14,0,2
T1007,77,66,8,3
T1008,56,44,5,7
T1010,52,40,8,4
T1011,7,4,2,1
T1011.001,12,11,0,1
T1012,143,111,19,13
T1014,35,28,2,5
T1016,272,206,33,33
T1016.001,30,23,2,5
T1016.002,12,11,1,0
T1018,108,81,13,14
T1020,31,27,3,1
T1020.001,10,7,1,2
T1021,55,39,8,8
T1021.001,91,71,8,12
T1021.002,101,85,7,9
T1021.003,34,27,3,4
T1021.004,45,39,2,4
T1021.005,31,26,2,3
T1021.006,30,25,2,3
T1021.007,13,9,3,1
T1021.008,8,7,0,1
T1025,32,24,4,4
T1027,190,148,21,21
T1027.001,47,40,3,4
T1027.002,106,82,13,11
T1027.003,38,29,6,3
T1027.004,18,16,0,2
T1027.005,24,19,4,1
T1027.006,14,13,0,1
T1027.007,23,20,3,0
T1027.008,11,6,4,1
T1027.009,39,31,3,5
T1027.010,80,70,5,5
T1027.011,43,33,4,6
T1027.012,10,8,2,0
T1027.013,217,170,19,28
T1027.014,12,10,2,0
T1029,21,15,3,3
T1030,26,23,2,1
T1033,251,200,23,28
T1036,72,62,6,4
T1036.001,15,12,1,2
T1036.002,15,11,2,2
T1036.003,20,14,3,3
T1036.004,101,81,11,9
T1036.005,213,174,19,20
T1036.006,10,7,2,1
T1036.007,18,15,2,1
T1036.008,25,18,4,3
T1036.009,11,11,0,0
T1036.010,16,11,1,4
T1037,15,14,0,1
T1037.001,21,12,6,3
T1037.002,14,13,0,1
T1037.003,7,7,0,0
T1037.004,20,14,1,5
T1037.005,12,8,0,4
T1039,26,17,5,4
T1040,44,38,4,2
T1041,168,132,17,19
T1046,85,71,10,4
T1047,189,142,22,25
T1048,20,18,1,1
T1048.001,6,6,0,0
T1048.002,13,11,1,1
T1048.003,40,34,2,4
T1049,112,95,9,8
T1052,7,6,0,1
T1052.001,16,12,3,1
T1053,33,26,3,4
T1053.002,62,58,2,2
T1053.003,42,34,5,3
T1053.005,209,164,24,21
T1053.006,27,23,3,1
T1053.007,22,20,0,2
T1055,86,71,7,8
T1055.001,99,83,8,8
T1055.002,19,18,1,0
T1055.003,12,9,2,1
T1055.004,23,21,1,1
T1055.005,9,7,1,1
T1055.008,15,14,0,1
T1055.009,14,12,1,1
T1055.011,15,8,5,2
T1055.012,56,50,3,3
T1055.013,23,18,1,4
T1055.014,10,9,1,0
T1055.015,15,12,1,2
T1056,19,14,2,3
T1056.001,160,129,12,19
T1056.002,23,19,2,2
T1056.003,10,9,1,0
T1056.004,22,18,2,2
T1057,303,225,39,39
T1059,62,49,7,6
T1059.001,254,201,24,29
T1059.002,35,29,0,6
T1059.003,388,323,35,30
T1059.004,61,50,6,5
T1059.005,154,116,22,16
T1059.006,59,45,8,6
T1059.007,75,67,2,6
T1059.008,10,8,1,1
T1059.009,17,14,0,3
T1059.010,16,12,2,2
T1059.011,13,9,1,3
T1068,62,51,6,5
T1069,22,17,4,1
T1069.001,42,35,3,4
T1069.002,44,37,6,1
T1069.003,18,12,1,5
T1070,46,34,5,7
T1070.001,78,63,7,8
T1070.002,11,8,1,2
T1070.003,37,31,3,3
T1070.004,284,226,21,37
T1070.005,14,13,1,0
T1070.006,71,56,6,9
T1070.007,21,15,3,3
T1070.008,22,19,1,2
T1070.009,26,22,3,1
T1070.010,7,5,0,2
T1071,18,17,1,0
T1071.001,367,295,42,30
T1071.002,25,23,1,1
T1071.003,30,26,1,3
T1071.004,63,49,8,6
T1071.005,7,7,0,0
T1072,43,30,6,7
T1074,10,8,1,1
T1074.001,118,90,17,11
T1074.002,16,14,0,2
T1078,67,53,8,6
T1078.001,18,14,2,2
T1078.002,54,40,4,10
T1078.003,31,21,7,3
T1078.004,40,29,5,6
T1080,31,25,4,2
T1082,424,336,35,53
T1083,359,284,42,33
T1087,17,14,2,1
T1087.001,76,66,6,4
T1087.002,50,38,7,5
T1087.003,20,16,2,2
T1087.004,16,13,3,0
T1090,64,53,5,6
T1090.001,31,26,3,2
T1090.002,31,24,4,3
T1090.003,41,36,2,3
T1090.004,12,9,2,1
T1091,43,35,5,3
T1092,10,7,1,2
T1095,102,77,15,10
T1098,23,17,3,3
T1098.001,42,33,6,3
T1098.002,25,20,2,3
T1098.003,21,11,5,5
T1098.004,27,21,1,5
T1098.005,23,20,1,2
T1098.006,7,6,1,0
T1098.007,24,21,1,2
T1102,45,37,3,5
T1102.001,23,16,4,3
T1102.002,51,41,7,3
T1102.003,14,10,1,3
T1104,25,24,1,0
T1105,489,375,66,48
T1106,217,188,12,17
T1110,30,25,3,2
T1110.001,25,16,4,5
T1110.002,13,8,2,3
T1110.003,45,37,1,7
T1110.004,10,7,2,1
T1111,23,20,1,2
T1112,203,162,19,22
T1113,163,119,21,23
T1114,14,13,0,1
T1114.001,26,22,3,1
T1114.002,35,30,2,3
T1114.003,41,31,2,8
T1115,46,35,6,5
T1119,80,63,12,5
T1120,62,51,6,5
T1123,34,28,5,1
T1124,102,76,8,18
T1125,44,34,5,5
T1127,8,6,1,1
T1127.001,20,13,3,4
T1127.002,15,14,0,1
T1129,34,27,4,3
T1132,9,8,1,0
T1132.001,118,86,13,19
T1132.002,17,13,1,3
T1133,60,51,5,4
T1134,43,34,7,2
T1134.001,35,31,2,2
T1134.002,19,16,1,2
T1134.003,11,10,0,1
T1134.004,17,14,1,2
T1134.005,24,19,3,2
T1135,76,68,1,7
T1136,8,6,0,2
T1136.001,38,31,2,5
T1136.002,17,15,0,2
T1136.003,20,17,1,2
T1137,19,10,6,3
T1137.001,30,29,1,0
T1137.002,17,13,2,2
T1137.003,15,12,0,3
T1137.004,12,12,0,0
T1137.005,11,10,0,1
T1137.006,13,11,1,1
T1140,324,264,28,32
T1176,29,20,6,3
T1185,26,24,1,1
T1187,35,24,6,5
T1189,81,64,9,8
T1190,76,59,7,10
T1195,22,18,4,0
T1195.001,13,8,3,2
T1195.002,16,14,1,1
T1195.003,5,5,0,0
T1197,43,37,6,0
T1199,25,22,0,3
T1200,11,9,2,0
T1201,18,15,1,2
T1202,10,6,2,2
T1203,88,73,10,5
T1204,38,31,4,3
T1204.001,96,84,5,7
T1204.002,198,157,19,22
T1204.003,22,18,2,2
T1205,31,26,3,2
T1205.001,10,9,1,0
T1205.002,20,17,1,2
T1207,16,15,1,0
T1210,46,39,4,3
T1211,12,11,1,0
T1212,12,11,0,1
T1213,35,27,5,3
T1213.001,20,14,5,1
T1213.002,20,16,2,2
T1213.003,18,15,2,1
T1213.004,13,10,1,2
T1213.005,16,13,0,3
T1216,3,3,0,0
