label,total_count,train_count,validation_count,test_count
T1003.001,148,108,21,19
T1005,216,180,18,18
T1012,120,103,7,10
T1016,335,268,43,24
T1021.001,137,104,14,19
T1027,1043,834,100,109
T1033,257,202,25,30
T1036.005,186,153,18,15
T1041,187,154,20,13
T1047,196,147,15,34
T1053.005,219,174,15,30
T1055,374,311,35,28
T1056.001,181,146,19,16
T1057,320,252,36,32
T1059.003,608,500,55,53
T1068,60,44,6,10
T1070.004,322,255,31,36
T1071.001,405,319,48,38
T1072,8,5,1,2
T1074.001,107,85,9,13
T1078,224,175,24,25
T1082,487,386,57,44
T1083,393,322,36,35
T1090,234,183,26,25
T1095,75,59,10,6
T1105,657,518,71,68
T1106,290,238,23,29
T1110,110,92,8,10
T1112,222,179,20,23
T1113,194,149,25,20
T1140,611,490,54,67
T1190,77,62,7,8
T1204.002,215,176,20,19
T1210,40,33,4,3
T1218.011,131,107,15,9
T1219,75,65,8,2
T1484.001,25,21,3,1
T1518.001,161,124,22,15
T1543.003,159,127,11,21
T1547.001,280,227,31,22
T1548.002,79,65,6,8
T1552.001,45,38,3,4
T1557.001,14,10,3,1
T1562.001,162,128,17,17
T1564.001,64,50,4,10
T1566.001,216,177,19,20
T1569.002,81,66,7,8
T1570,84,62,8,14
T1573.001,169,139,12,18
T1574.002,127,92,23,12
